Name,ID,Version,License,Repo,Organisation
Open PCR - Assembly,Q499768,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:273639,
Open PCR - Heating,Q499807,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:273673,
OpenPCR - Lid,Q763021,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:301015,
PCR sample tube Forceps,Q103279,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:31857,
Replacement Tabs for Biometra PCR Machine,Q38499,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:3632,
PCS ~ PCS,Q867107,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:423611,
ccr,Q810973,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:351543,
RCR,Q348820,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:194352,
Attacco per cinghia per trasporto stampante,Q781065,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:318373,
PCB,Q6134,bad22e73c7a6de888257d40d7a89a67fc8fba599,https://spdx.org/licenses/CERN-OHL-1.2,https://wikifactory.com/+OttoDIY/pcb,Otto DIY
