Name,ID,Version,License,Repo,Organisation
Washing machine Knob,Q50577,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:10833,
Washing Machine knob replacement,Q206934,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:63433,
Kenmore 80 series washing machine motor coupler,Q94135,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:26261,
Maytag MAF 1060 Washing Machine Latch Handle,Q264548,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:109065,
replacement Frigidare washing machine door strike PN1344566,Q302174,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:151253,
AirCasting Air Monitor Casing,Q94639,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:26555,
Washing line pylon,Q41304,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:5437,
Washing Up Brush Holder,Q52464,1.0.0,https://spdx.org/licenses/GPL-3.0-or-later,https://www.thingiverse.com/thing:11852,
Dish washing sponge holder,Q50121,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:10586,
Holder for dish-washing brush.,Q807922,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:348309,
