Name,ID,Version,License,Repo,Organisation
The Piratebay Pirate Ship,Q60738,1.0.0,https://spdx.org/licenses/CC0-1.0,https://www.thingiverse.com/thing:16419,
Transport Ship - Space,Q885030,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:448946,
Basic Space Ship,Q781353,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:318694,
Under Water Ship,Q856697,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:410431,
Rocket Ship,Q323599,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:171131,
A Rocket Ship in the Classic Style,Q52932,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:12129,
Small OpenSCAD ship,Q56751,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:14203,
Flash Gordon Zarkov ship,Q343201,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:189378,
ShipBuilder Expansion: Icarus,Q907138,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:479301,
Space Ship,Q126449,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:36000,
