Name,ID,Version,License,Repo,Organisation
Microscope mount,Q766192,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:304278,
microscope bracket,Q504682,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:278874,
Microscope Platen,Q247571,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:91417,
Microscope eyepiece cap,Q46161,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:8450,
Microscope Slide Case,Q473590,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:266339,
Microscope Webcam Mount,Q352693,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:197856,
USB Microscope Stand,Q226433,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:67466,
USB microscope holder,Q881958,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:444773,
Spherical Lens Microscope,Q265238,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:109831,
Holder for a digital microscope.,Q751921,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:289300,
