Name,ID,Version,License,Repo,Organisation
Pinhole Camera Components,Q37218,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:2555,
Pinhole Camera Mark II,Q37410,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:2863,
pinhole135 camera mini,Q334171,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:181764,
3d printed 120 Pinhole Camera,Q51012,1.0.0,https://spdx.org/licenses/LGPL-3.0-or-later,https://www.thingiverse.com/thing:11057,
Smiley-V2 Pinhole Camera Body,Q47364,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:9111,
Nikon Pinhole Lens,Q43476,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:6831,
Pin and pinhole elements,Q126548,1.0.0,https://spdx.org/licenses/GPL-3.0-or-later,https://www.thingiverse.com/thing:36076,
Pinhole Lens for Canon EF mount,Q36021,1.0.0,https://spdx.org/licenses/CC-BY-4.0,https://www.thingiverse.com/thing:1621,
Canon EF-S pinhole 'lens',Q289538,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:136748,
caneta tamara,Q473749,1.0.0,https://spdx.org/licenses/CC-BY-SA-4.0,https://www.thingiverse.com/thing:266523,
